,merchant,category,amt,job,is_fraud,trans_hour,age,location
1475,"""Altenwerth, Cartwright and Koss""",shopping_net,882.83,Insurance broker,1,2,42,"Sutherland,NE"
1476,Kutch and Sons,grocery_pos,358.55,Insurance broker,1,2,42,"Sutherland,NE"
1477,Pacocha-Bauch,shopping_pos,1051.31,Insurance broker,1,2,42,"Sutherland,NE"
1478,Barton LLC,kids_pets,20.67,Insurance broker,1,20,42,"Sutherland,NE"
1479,"""Hagenes, Hermann and Stroman""",travel,10.62,Insurance broker,1,22,42,"Sutherland,NE"
1480,"""Schroeder, Hauck and Treutel""",entertainment,510.36,Insurance broker,1,23,42,"Sutherland,NE"
1481,"""Swaniawski, Nitzsche and Welch""",health_fitness,22.93,Insurance broker,1,23,42,"Sutherland,NE"
1482,Crona and Sons,kids_pets,18.74,Insurance broker,1,23,42,"Sutherland,NE"
1483,"""Moore, Dibbert and Koepp""",misc_net,838.98,Naval architect,1,0,26,"Owensville,MO"
1484,Koepp-Parke,grocery_pos,313.0,Naval architect,1,0,26,"Owensville,MO"
1485,Kilback LLC,grocery_pos,262.6,Naval architect,1,1,26,"Owensville,MO"
1486,Strosin-Cruickshank,grocery_pos,331.19,Naval architect,1,3,26,"Owensville,MO"
1487,Kunze Inc,grocery_pos,315.01,Naval architect,1,3,26,"Owensville,MO"
1488,Bashirian Group,shopping_net,1125.06,Naval architect,1,22,26,"Owensville,MO"
1489,"""Streich, Dietrich and Barton""",shopping_net,1046.78,Naval architect,1,22,26,"Owensville,MO"
1490,Kassulke PLC,shopping_net,1185.77,Naval architect,1,23,26,"Owensville,MO"
1491,Pacocha-Bauch,shopping_pos,909.85,Naval architect,1,23,26,"Owensville,MO"
1492,Kiehn-Emmerich,grocery_pos,288.8,Naval architect,1,1,26,"Owensville,MO"
1493,Wolf Inc,grocery_pos,302.2,Naval architect,1,2,26,"Owensville,MO"
1494,"""Schultz, Simonis and Little""",grocery_pos,314.26,Naval architect,1,3,26,"Owensville,MO"
1495,"""Altenwerth, Cartwright and Koss""",shopping_net,1035.66,Naval architect,1,22,26,"Owensville,MO"
1496,"""Gottlieb, Considine and Schultz""",shopping_net,1025.76,Educational psychologist,1,0,43,"Manville,WY"
1497,Reilly and Sons,health_fitness,22.55,Educational psychologist,1,20,43,"Manville,WY"
1498,Gottlieb-Hansen,personal_care,20.28,Educational psychologist,1,22,43,"Manville,WY"
1499,Homenick LLC,personal_care,19.55,Educational psychologist,1,23,43,"Manville,WY"
1500,Fisher-Schowalte,shopping_net,866.33,Educational psychologist,1,1,43,"Manville,WY"
1501,Mohr Inc,shopping_pos,939.78,Educational psychologist,1,2,43,"Manville,WY"
1502,Homenick LLC,personal_care,21.78,Educational psychologist,1,23,43,"Manville,WY"
1503,Botsford Lt,shopping_pos,1319.97,"""Engineer, automotive""",1,2,50,"Hooper,NE"
1504,Watsica LLC,personal_care,15.99,"""Engineer, automotive""",1,22,50,"Hooper,NE"
1505,Bednar Inc,travel,9.82,"""Engineer, automotive""",1,23,50,"Hooper,NE"
1506,Vandervort-Funk,grocery_pos,345.96,"""Engineer, automotive""",1,1,50,"Hooper,NE"
1507,Medhurst PLC,shopping_net,1000.46,"""Engineer, automotive""",1,1,50,"Hooper,NE"
1508,"""Baumbach, Feeney and Mo""",shopping_net,1019.77,"""Engineer, automotive""",1,2,50,"Hooper,NE"
1509,Torp-Labadie,gas_transport,12.78,"""Engineer, automotive""",1,3,50,"Hooper,NE"
1510,"""Koss, Hansen and Lueilwitz""",home,279.58,"""Engineer, automotive""",1,13,50,"Hooper,NE"
1511,"""Lockman, West and Runte""",grocery_pos,318.03,Town planner,1,0,58,"Luray,MO"
1512,DuBuque LLC,grocery_pos,335.75,Town planner,1,0,58,"Luray,MO"
1513,Bogisich-Homenick,misc_net,996.21,Town planner,1,22,58,"Luray,MO"
1514,Ruecker Group,misc_net,810.84,Town planner,1,22,58,"Luray,MO"
1515,Stracke-Lemke,grocery_pos,299.83,Town planner,1,23,58,"Luray,MO"
1516,Mante Group,misc_net,760.8,Town planner,1,23,58,"Luray,MO"
1517,"""Rodriguez, Yost and Jenkins""",misc_net,922.33,Town planner,1,17,58,"Luray,MO"
1518,Mayert Group,shopping_pos,785.58,Town planner,1,22,58,"Luray,MO"
1519,"""Quitzon, Green and Bashirian""",shopping_pos,881.81,Town planner,1,23,58,"Luray,MO"
1520,"""Bahringer, Bergnaum and Quitzon""",home,418.14,Town planner,1,23,58,"Luray,MO"
1521,"""Mosciski, Ziemann and Farrell""",shopping_net,875.2,Town planner,1,23,58,"Luray,MO"
1522,"""Kovacek, Dibbert and Ondrick""",grocery_pos,341.76,Educational psychologist,1,0,72,"Loving,NM"
1523,"""Stroman, Hudson and Erdman""",gas_transport,23.27,Educational psychologist,1,1,72,"Loving,NM"
1524,Luettgen PLC,gas_transport,17.8,Educational psychologist,1,3,72,"Loving,NM"
1525,Nader-Helle,misc_net,802.1,Educational psychologist,1,19,72,"Loving,NM"
1526,"""Heathcote, Yost and Kertzmann""",shopping_net,1076.63,Educational psychologist,1,22,72,"Loving,NM"
1527,"""Cormier, Stracke and Thiel""",entertainment,580.52,Educational psychologist,1,22,72,"Loving,NM"
1528,Nader-Maggio,personal_care,53.26,Educational psychologist,1,23,72,"Loving,NM"
1529,Heathcote LLC,shopping_net,981.48,Educational psychologist,1,13,72,"Loving,NM"
1530,Auer-West,shopping_net,965.6,Educational psychologist,1,22,72,"Loving,NM"
1531,Kris-Weimann,misc_net,790.95,Educational psychologist,1,22,72,"Loving,NM"
1532,Boyer PLC,shopping_net,976.1,Educational psychologist,1,23,72,"Loving,NM"
1533,Kiehn-Emmerich,grocery_pos,312.74,Research scientist (physical sciences),1,0,47,"Newberg,OR"
1534,Strosin-Cruickshank,grocery_pos,305.28,Research scientist (physical sciences),1,11,47,"Newberg,OR"
1535,Auer-West,shopping_net,998.47,Research scientist (physical sciences),1,23,47,"Newberg,OR"
1536,"""Raynor, Reinger and Hagenes""",gas_transport,11.0,Research scientist (physical sciences),1,0,47,"Newberg,OR"
1537,Auer-Mosciski,grocery_pos,306.41,Research scientist (physical sciences),1,2,47,"Newberg,OR"
1538,Hudson-Ratke,grocery_pos,286.88,Research scientist (physical sciences),1,11,47,"Newberg,OR"
1539,"""Heathcote, Yost and Kertzmann""",shopping_net,949.25,Research scientist (physical sciences),1,12,47,"Newberg,OR"
1540,"""Moore, Dibbert and Koepp""",misc_net,656.66,Research scientist (physical sciences),1,22,47,"Newberg,OR"
1541,"""Ferry, Lynch and Kautze""",misc_net,892.22,Research scientist (physical sciences),1,23,47,"Newberg,OR"
1542,Stark-Batz,entertainment,429.9,Intelligence analyst,1,1,53,"Meridian,ID"
1543,Erdman-Schaden,personal_care,18.52,Intelligence analyst,1,22,53,"Meridian,ID"
1544,Miller-Harris,misc_net,940.42,Intelligence analyst,1,0,53,"Meridian,ID"
1545,"""Huel, Hammes and Witting""",grocery_pos,334.45,Intelligence analyst,1,2,53,"Meridian,ID"
1546,Auer-West,shopping_net,954.32,Intelligence analyst,1,2,53,"Meridian,ID"
1547,Hyatt-Blick,travel,8.49,Architect,1,22,71,"Mound City,MO"
1548,"""Stehr, Jewess and Schimmel""",misc_net,710.45,Architect,1,22,71,"Mound City,MO"
1549,Haley Group,misc_pos,48.95,Architect,1,22,71,"Mound City,MO"
1550,Jast Lt,shopping_net,995.71,Architect,1,23,71,"Mound City,MO"
1551,"""Mosciski, Gislason and Mertz""",grocery_pos,344.55,Architect,1,23,71,"Mound City,MO"
1552,"""Kovacek, Dibbert and Ondrick""",grocery_pos,312.69,Architect,1,0,71,"Mound City,MO"
1553,Harber Inc,gas_transport,19.23,Architect,1,0,71,"Mound City,MO"
1554,Stamm-Witting,shopping_net,918.25,Architect,1,14,71,"Mound City,MO"
1555,Little-Gleichne,travel,1.99,Architect,1,16,71,"Mound City,MO"
1556,"""Heathcote, Yost and Kertzmann""",shopping_net,904.82,Architect,1,17,71,"Mound City,MO"
1557,Fisher Inc,shopping_net,990.11,Architect,1,20,71,"Mound City,MO"
1558,DuBuque LLC,grocery_pos,305.08,Architect,1,23,71,"Mound City,MO"
1559,Kozey-Boehm,shopping_net,1050.34,Architect,1,23,71,"Mound City,MO"
1560,Kuhn LLC,shopping_pos,914.68,Architect,1,23,71,"Mound City,MO"
1561,Auer-West,shopping_net,928.08,Architect,1,23,71,"Mound City,MO"
1562,Vandervort-Funk,grocery_pos,281.59,Chemical engineer,1,0,61,"Palmdale,CA"
1563,"""Ferry, Reichel and DuBuque""",grocery_net,7.88,Chemical engineer,1,0,61,"Palmdale,CA"
1564,"""Heller, Gutmann and Zieme""",grocery_pos,277.62,Chemical engineer,1,8,61,"Palmdale,CA"
1565,Lebsack and Sons,misc_net,854.39,Chemical engineer,1,15,61,"Palmdale,CA"
1566,"""Romaguera, Cruickshank and Greenholt""",shopping_net,969.19,Chemical engineer,1,20,61,"Palmdale,CA"
1567,Dach-Nade,misc_net,732.99,Chemical engineer,1,22,61,"Palmdale,CA"
1568,"""Osinski, Ledner and Leuschke""",grocery_pos,278.34,Chemical engineer,1,22,61,"Palmdale,CA"
1569,Rutherford-Mertz,grocery_pos,257.23,Chemical engineer,1,3,61,"Palmdale,CA"
1570,Welch Inc,misc_net,898.89,Chemical engineer,1,22,61,"Palmdale,CA"
1571,"""Romaguera, Cruickshank and Greenholt""",shopping_net,1038.25,Chemical engineer,1,23,61,"Palmdale,CA"
1572,"""Langworth, Boehm and Gulgowski""",shopping_net,963.73,Chemical engineer,1,23,61,"Palmdale,CA"
1573,Kerluke Inc,misc_net,809.83,Licensed conveyancer,1,1,24,"Ruidoso,NM"
1574,Gleason-Macejkovic,shopping_net,914.35,Licensed conveyancer,1,22,24,"Ruidoso,NM"
1575,Stamm-Rodriguez,misc_pos,9.1,Licensed conveyancer,1,22,24,"Ruidoso,NM"
1576,Kunze Inc,grocery_pos,299.29,Licensed conveyancer,1,0,24,"Ruidoso,NM"
1577,"""Schoen, Kuphal and Nitzsche""",grocery_pos,312.03,Licensed conveyancer,1,1,24,"Ruidoso,NM"
1578,Rutherford-Mertz,grocery_pos,251.36,Licensed conveyancer,1,2,24,"Ruidoso,NM"
1579,Friesen-Stamm,gas_transport,12.08,Licensed conveyancer,1,3,24,"Ruidoso,NM"
1580,Kiehn-Emmerich,grocery_pos,334.14,Agricultural consultant,1,3,74,"Blairstown,MO"
1581,Koelpin and Sons,misc_net,851.6,Agricultural consultant,1,22,74,"Blairstown,MO"
1582,Hills-Witting,shopping_net,911.81,Agricultural consultant,1,22,74,"Blairstown,MO"
1583,"""Mosciski, Ziemann and Farrell""",shopping_net,966.17,Licensed conveyancer,1,22,24,"Ruidoso,NM"
1584,Eichmann-Russel,misc_pos,49.16,Agricultural consultant,1,23,74,"Blairstown,MO"
1585,Reichel Inc,entertainment,620.39,Agricultural consultant,1,23,74,"Blairstown,MO"
1586,Boyer-Reichert,shopping_net,1008.56,Licensed conveyancer,1,23,24,"Ruidoso,NM"
1587,"""Lehner, Reichert and Mills""",misc_pos,7.9,Licensed conveyancer,1,23,24,"Ruidoso,NM"
1588,Kris-Padberg,shopping_pos,777.41,Civil Service fast streamer,1,3,41,"Azusa,CA"
1589,"""Schultz, Simonis and Little""",grocery_pos,369.54,Civil Service fast streamer,1,3,41,"Azusa,CA"
1590,Volkman Lt,misc_net,771.44,Civil Service fast streamer,1,0,41,"Azusa,CA"
1591,"""Schultz, Simonis and Little""",grocery_pos,292.1,TEFL teacher,1,0,68,"Kirtland,NM"
1592,Wolf Inc,grocery_pos,371.94,Civil Service fast streamer,1,2,41,"Azusa,CA"
1593,Mohr-Baye,shopping_net,1030.02,Civil Service fast streamer,1,3,41,"Azusa,CA"
1594,Dooley Inc,shopping_pos,808.35,Civil Service fast streamer,1,3,41,"Azusa,CA"
1595,Leannon-Nikolaus,travel,11.76,Civil Service fast streamer,1,15,41,"Azusa,CA"
1596,Boyer PLC,shopping_net,1203.92,TEFL teacher,1,22,68,"Kirtland,NM"
1597,DuBuque LLC,grocery_pos,307.77,TEFL teacher,1,22,68,"Kirtland,NM"
1598,"""Bahringer, Bergnaum and Quitzon""",home,244.33,Civil Service fast streamer,1,22,41,"Azusa,CA"
1599,Bednar Group,misc_net,933.69,TEFL teacher,1,22,68,"Kirtland,NM"
1600,Bins-Howell,personal_care,22.16,Civil Service fast streamer,1,23,41,"Azusa,CA"
1601,Little Lt,kids_pets,22.4,Civil Service fast streamer,1,23,41,"Azusa,CA"
1602,"""Tillman, Fritsch and Schmitt""",misc_net,902.71,TEFL teacher,1,23,68,"Kirtland,NM"
1603,Boyer-Reichert,shopping_net,997.8,TEFL teacher,1,23,68,"Kirtland,NM"
1604,Hilpert-Conroy,kids_pets,19.89,Civil Service fast streamer,1,23,41,"Azusa,CA"
1605,"""Watsica, Haag and Considine""",shopping_pos,943.71,TEFL teacher,1,12,68,"Kirtland,NM"
1606,"""Reichert, Huels and Hoppe""",shopping_net,903.87,TEFL teacher,1,12,68,"Kirtland,NM"
1607,Rempel Inc,shopping_net,984.59,TEFL teacher,1,22,68,"Kirtland,NM"
1608,"""Romaguera, Cruickshank and Greenholt""",shopping_net,1128.66,TEFL teacher,1,23,68,"Kirtland,NM"
1609,"""Baumbach, Strosin and Nicolas""",shopping_pos,1029.47,"""Pilot, airline""",1,11,36,"Laramie,WY"
1610,Donnelly LLC,entertainment,509.77,"""Pilot, airline""",1,5,36,"Laramie,WY"
1611,Miller-Hauck,grocery_pos,302.65,"""Engineer, biomedical""",1,0,56,"Seligman,MO"
1612,Padberg-Welch,grocery_pos,301.73,"""Engineer, biomedical""",1,2,56,"Seligman,MO"
1613,Macejkovic-Lesch,shopping_pos,959.44,"""Engineer, biomedical""",1,22,56,"Seligman,MO"
1614,Corwin-Gorczany,misc_net,902.67,"""Engineer, biomedical""",1,20,56,"Seligman,MO"
1615,Murray-Smitham,grocery_pos,318.43,"""Engineer, biomedical""",1,22,56,"Seligman,MO"
1616,Homenick LLC,personal_care,17.05,"""Engineer, biomedical""",1,22,56,"Seligman,MO"
1617,"""Parisian, Schiller and Altenwerth""",misc_net,790.28,"""Engineer, biomedical""",1,22,56,"Seligman,MO"
1618,"""Nienow, Ankunding and Collie""",misc_pos,8.29,"""Engineer, biomedical""",1,22,56,"Seligman,MO"
1619,Bechtelar-Rippin,food_dining,118.24,"""Engineer, biomedical""",1,22,56,"Seligman,MO"
1620,"""Kuhic, Bins and Pfeffe""",shopping_net,991.2,"""Engineer, biomedical""",1,23,56,"Seligman,MO"
1621,Weimann-Lockman,kids_pets,21.09,"""Therapist, music""",1,16,36,"Mountain Center,CA"
1622,"""Swaniawski, Lowe and Robel""",shopping_pos,1001.85,"""Therapist, music""",1,22,36,"Mountain Center,CA"
1623,Rolfson-Kunde,personal_care,21.87,"""Therapist, music""",1,23,36,"Mountain Center,CA"
1624,"""Schneider, Hayes and Nikolaus""",food_dining,125.67,"""Therapist, music""",1,23,36,"Mountain Center,CA"
1625,Kutch Group,grocery_net,15.48,Architectural technologist,1,0,63,"Llano,NM"
1626,"""Lockman, West and Runte""",grocery_pos,330.98,Architectural technologist,1,1,63,"Llano,NM"
1627,Hackett-Lueilwitz,grocery_pos,321.16,"""Therapist, music""",1,3,36,"Mountain Center,CA"
1628,Stracke-Lemke,grocery_pos,379.57,"""Therapist, music""",1,5,36,"Mountain Center,CA"
1629,Tromp Group,travel,1.78,Architectural technologist,1,12,63,"Llano,NM"
1630,"""Kihn, Abernathy and Douglas""",shopping_net,957.37,Architectural technologist,1,15,63,"Llano,NM"
1631,"""Mosciski, Ziemann and Farrell""",shopping_net,952.33,Architectural technologist,1,20,63,"Llano,NM"
1632,Ankunding LLC,shopping_net,917.14,Architectural technologist,1,22,63,"Llano,NM"
1633,Breitenberg-Hermiston,kids_pets,20.71,"""Therapist, music""",1,23,36,"Mountain Center,CA"
1634,"""Langosh, Wintheiser and Hyatt""",food_dining,93.87,"""Therapist, music""",1,23,36,"Mountain Center,CA"
1635,"""Schuppe, Nolan and Hoege""",shopping_pos,842.07,Architectural technologist,1,22,63,"Llano,NM"
1636,Kirlin and Sons,personal_care,51.86,Architectural technologist,1,22,63,"Llano,NM"
1637,Murray Lt,grocery_net,13.65,Colour technologist,1,0,65,"Camden,MO"
1638,Kilback LLC,grocery_pos,306.95,Counselling psychologist,1,1,24,"Phoenix,AZ"
1639,Kuhic Inc,grocery_pos,335.95,Counselling psychologist,1,2,24,"Phoenix,AZ"
1640,"""Rowe, Batz and Goodwin""",grocery_pos,298.14,Colour technologist,1,15,65,"Camden,MO"
1641,Kuhic LLC,shopping_net,1019.51,Colour technologist,1,16,65,"Camden,MO"
1642,Klocko LLC,misc_net,823.42,Colour technologist,1,22,65,"Camden,MO"
1643,Marvin-Lin,personal_care,52.83,Colour technologist,1,22,65,"Camden,MO"
1644,Price Inc,shopping_net,873.29,Counselling psychologist,1,23,24,"Phoenix,AZ"
1645,Kozey-McDermott,travel,8.14,Counselling psychologist,1,23,24,"Phoenix,AZ"
1646,Lockman Lt,grocery_pos,348.09,Colour technologist,1,23,65,"Camden,MO"
1647,Kiehn-Emmerich,grocery_pos,319.27,Colour technologist,1,23,65,"Camden,MO"
1648,Mante Group,misc_net,708.51,Counselling psychologist,1,23,24,"Phoenix,AZ"
1649,"""Johnson, Runolfsdottir and Maye""",misc_net,806.79,Colour technologist,1,23,65,"Camden,MO"
1650,Koss and Sons,gas_transport,17.45,Colour technologist,1,0,65,"Camden,MO"
1651,"""Johnson, Runolfsdottir and Maye""",misc_net,870.55,Counselling psychologist,1,0,24,"Phoenix,AZ"
1652,Kiehn Inc,grocery_pos,290.0,Counselling psychologist,1,0,24,"Phoenix,AZ"
1653,"""Rohan, White and Aufderh""",misc_net,850.16,Counselling psychologist,1,0,24,"Phoenix,AZ"
1654,"""Stroman, Hudson and Erdman""",gas_transport,19.04,Colour technologist,1,0,65,"Camden,MO"
1655,Conroy-Cruickshank,gas_transport,18.46,Colour technologist,1,1,65,"Camden,MO"
1656,Conroy-Cruickshank,gas_transport,7.23,Counselling psychologist,1,1,24,"Phoenix,AZ"
1657,"""Kovacek, Dibbert and Ondrick""",grocery_pos,284.76,Counselling psychologist,1,2,24,"Phoenix,AZ"
1658,Spinka-Welch,grocery_net,8.52,Counselling psychologist,1,3,24,"Phoenix,AZ"
1659,Kuphal-Bartoletti,misc_net,863.5,Colour technologist,1,20,65,"Camden,MO"
1660,Nolan-Williamson,kids_pets,20.61,Counselling psychologist,1,22,24,"Phoenix,AZ"
1661,Botsford PLC,home,372.73,Colour technologist,1,22,65,"Camden,MO"
1662,Pouros-Conroy,shopping_pos,854.43,Counselling psychologist,1,22,24,"Phoenix,AZ"
1663,Tillman LLC,travel,10.18,Counselling psychologist,1,22,24,"Phoenix,AZ"
1664,"""Herman, Treutel and Dickens""",misc_net,830.7,Colour technologist,1,23,65,"Camden,MO"
1665,"""Greenholt, O'Hara and Balistreri""",shopping_net,802.42,Counselling psychologist,1,23,24,"Phoenix,AZ"
1666,Goodwin-Nitzsche,grocery_pos,295.82,Building surveyor,1,0,89,"Paradise Valley,AZ"
1667,Cole PLC,grocery_pos,285.48,Building surveyor,1,1,89,"Paradise Valley,AZ"
1668,Kutch LLC,gas_transport,8.65,Building surveyor,1,7,89,"Paradise Valley,AZ"
1669,"""Baumbach, Feeney and Mo""",shopping_net,929.11,Building surveyor,1,15,89,"Paradise Valley,AZ"
1670,Turner and Sons,shopping_pos,949.65,Building surveyor,1,20,89,"Paradise Valley,AZ"
1671,Zemlak Group,misc_net,768.25,Building surveyor,1,22,89,"Paradise Valley,AZ"
1672,"""Johnson, Runolfsdottir and Maye""",misc_net,928.76,Building surveyor,1,22,89,"Paradise Valley,AZ"
1673,Boyer-Reichert,shopping_net,1008.11,Building surveyor,1,23,89,"Paradise Valley,AZ"
1674,"""Bahringer, Schoen and Corkery""",shopping_pos,1093.63,Building surveyor,1,23,89,"Paradise Valley,AZ"
1675,Kutch and Sons,grocery_pos,314.74,Building surveyor,1,2,89,"Paradise Valley,AZ"
1676,"""Lockman, West and Runte""",grocery_pos,290.22,Building surveyor,1,17,89,"Paradise Valley,AZ"
1677,"""Reichert, Huels and Hoppe""",shopping_net,1015.71,Building surveyor,1,22,89,"Paradise Valley,AZ"
1678,Boyer PLC,shopping_net,1041.54,Systems developer,1,20,87,"Seattle,WA"
1679,"""Rowe, Batz and Goodwin""",grocery_pos,322.47,Systems developer,1,22,87,"Seattle,WA"
1680,Mante Group,misc_net,832.55,Systems developer,1,22,87,"Seattle,WA"
1681,Schmidt and Sons,shopping_net,980.71,Systems developer,1,23,87,"Seattle,WA"
1682,Pouros-Haag,shopping_pos,924.6,Systems developer,1,23,87,"Seattle,WA"
1683,Cummerata-Jones,gas_transport,13.98,Systems developer,1,0,87,"Seattle,WA"
1684,Kuhic Inc,grocery_pos,307.89,Systems developer,1,0,87,"Seattle,WA"
1685,Medhurst PLC,shopping_net,869.72,Systems developer,1,22,87,"Seattle,WA"
1686,Kassulke PLC,shopping_net,974.36,Systems developer,1,23,87,"Seattle,WA"
1687,McDermott-Weimann,grocery_pos,276.62,Nature conservation officer,1,0,62,"Malad City,ID"
1688,Emard Inc,gas_transport,9.38,Nature conservation officer,1,11,62,"Malad City,ID"
1689,Kuphal-Bartoletti,misc_net,718.19,Nature conservation officer,1,22,62,"Malad City,ID"
1690,"""Streich, Hansen and Veum""",gas_transport,6.87,Nature conservation officer,1,1,62,"Malad City,ID"
1691,Kunze Inc,grocery_pos,319.86,Nature conservation officer,1,3,62,"Malad City,ID"
1692,"""Schultz, Simonis and Little""",grocery_pos,308.77,Nature conservation officer,1,3,62,"Malad City,ID"
1693,Price Inc,shopping_net,1039.05,Nature conservation officer,1,19,62,"Malad City,ID"
1694,"""Towne, Greenholt and Koepp""",shopping_net,1009.4,Nature conservation officer,1,22,62,"Malad City,ID"
1695,Conroy-Cruickshank,gas_transport,21.96,Barrister,1,3,88,"Cascade Locks,OR"
1696,Watsica LLC,personal_care,52.12,Barrister,1,18,88,"Cascade Locks,OR"
1697,Marvin-Lin,personal_care,47.57,Barrister,1,19,88,"Cascade Locks,OR"
1698,Emmerich-R,personal_care,51.43,Barrister,1,22,88,"Cascade Locks,OR"
1699,Volkman-Predovic,shopping_net,1098.94,Barrister,1,23,88,"Cascade Locks,OR"
1700,Kutch and Sons,grocery_pos,326.03,Barrister,1,1,88,"Cascade Locks,OR"
1701,McDermott-Weimann,grocery_pos,307.01,Barrister,1,1,88,"Cascade Locks,OR"
1702,Satterfield-Lowe,travel,7.15,Barrister,1,22,88,"Cascade Locks,OR"
1703,Brekke and Sons,gas_transport,15.49,Production manager,1,2,67,"Spirit Lake,ID"
1704,"""Stroman, Hudson and Erdman""",gas_transport,5.53,Production manager,1,3,67,"Spirit Lake,ID"
1705,Cummings LLC,gas_transport,8.77,Production manager,1,10,67,"Spirit Lake,ID"
1706,"""Bernier, Volkman and Hoege""",misc_net,1022.36,Production manager,1,19,67,"Spirit Lake,ID"
1707,Barrows PLC,shopping_pos,964.94,Production manager,1,22,67,"Spirit Lake,ID"
1708,Medhurst PLC,shopping_net,994.02,Production manager,1,22,67,"Spirit Lake,ID"
1709,Pouros-Haag,shopping_pos,863.1,Production manager,1,22,67,"Spirit Lake,ID"
1710,"""Huel, Hammes and Witting""",grocery_pos,298.21,Production manager,1,11,67,"Spirit Lake,ID"
1711,Johnston-Caspe,travel,10.0,Production manager,1,23,67,"Spirit Lake,ID"
1712,Goyette Inc,shopping_net,1133.52,"""Engineer, biomedical""",1,16,56,"Stayton,OR"
1713,"""Romaguera, Cruickshank and Greenholt""",shopping_net,983.38,"""Engineer, biomedical""",1,21,56,"Stayton,OR"
1714,Rau-Grant,kids_pets,17.15,"""Engineer, biomedical""",1,22,56,"Stayton,OR"
1715,"""Romaguera, Cruickshank and Greenholt""",shopping_net,1070.99,"""Engineer, biomedical""",1,23,56,"Stayton,OR"
1716,Emmerich-Luettgen,grocery_net,6.97,"""Engineer, biomedical""",1,0,56,"Stayton,OR"
1717,Strosin-Cruickshank,grocery_pos,283.94,"""Engineer, biomedical""",1,1,56,"Stayton,OR"
1718,Pacocha-O'Reilly,grocery_pos,336.28,"""Engineer, biomedical""",1,2,56,"Stayton,OR"
1719,Conroy Lt,shopping_pos,907.83,"""Engineer, biomedical""",1,13,56,"Stayton,OR"
1720,Boyer PLC,shopping_net,907.77,"""Engineer, biomedical""",1,13,56,"Stayton,OR"
1721,"""Johnson, Runolfsdottir and Maye""",misc_net,835.51,"""Engineer, biomedical""",1,20,56,"Stayton,OR"
1722,"""Altenwerth, Cartwright and Koss""",shopping_net,797.76,"""Engineer, biomedical""",1,22,56,"Stayton,OR"
1723,Hills-Witting,shopping_net,914.77,"""Engineer, biomedical""",1,23,56,"Stayton,OR"
1724,Huels-Nolan,gas_transport,9.16,Commissioning editor,1,0,27,"Craig,AK"
1725,Kunde-Sanfo,misc_net,745.05,Commissioning editor,1,22,27,"Craig,AK"
1726,Torphy-Goyette,shopping_pos,1318.89,Commissioning editor,1,22,27,"Craig,AK"
1727,Fisher-Schowalte,shopping_net,984.28,Commissioning editor,1,22,27,"Craig,AK"
1728,Predovic Inc,shopping_net,1061.37,Commissioning editor,1,22,27,"Craig,AK"
1729,"""Altenwerth, Cartwright and Koss""",shopping_net,1008.38,Commissioning editor,1,22,27,"Craig,AK"
1730,"""Romaguera, Cruickshank and Greenholt""",shopping_net,926.72,Commissioning editor,1,22,27,"Craig,AK"
1731,Goyette Inc,shopping_net,990.84,Commissioning editor,1,22,27,"Craig,AK"
1732,Barrows PLC,shopping_pos,1118.24,Commissioning editor,1,22,27,"Craig,AK"
1733,Beier-Hyatt,shopping_pos,1183.93,Commissioning editor,1,23,27,"Craig,AK"
1734,Kutch and Sons,grocery_pos,333.42,Commissioning editor,1,0,27,"Craig,AK"
1735,Schamberger-O'Keefe,grocery_pos,298.76,Commissioning editor,1,0,27,"Craig,AK"
1736,"""Towne, Greenholt and Koepp""",shopping_net,881.12,Commissioning editor,1,23,27,"Craig,AK"
1737,"""Bernier, Volkman and Hoege""",misc_net,781.06,Commissioning editor,1,23,27,"Craig,AK"
1738,Bins-Rice,gas_transport,9.79,Advertising account planner,1,2,42,"Glendale,CA"
1739,"""Jenkins, Hauck and Friesen""",gas_transport,13.69,Special educational needs teacher,1,4,46,"Orient,WA"
1740,Pouros-Conroy,shopping_pos,959.59,Advertising account planner,1,21,42,"Glendale,CA"
1741,Bruen-Yost,misc_pos,9.02,Advertising account planner,1,22,42,"Glendale,CA"
1742,"""Wuckert, Wintheiser and Friesen""",home,257.51,Special educational needs teacher,1,23,46,"Orient,WA"
1743,"""Windler, Goodwin and Kovacek""",home,288.17,Special educational needs teacher,1,23,46,"Orient,WA"
1744,Kilback and Sons,entertainment,570.37,Advertising account planner,1,23,42,"Glendale,CA"
1745,Auer-West,shopping_net,1068.48,Advertising account planner,1,23,42,"Glendale,CA"
1746,Turner and Sons,shopping_pos,1107.65,Special educational needs teacher,1,1,46,"Orient,WA"
1747,Hudson-Ratke,grocery_pos,316.71,Advertising account planner,1,2,42,"Glendale,CA"
1748,Goodwin-Nitzsche,grocery_pos,354.08,Special educational needs teacher,1,3,46,"Orient,WA"
1749,Wolf Inc,grocery_pos,274.68,Advertising account planner,1,6,42,"Glendale,CA"
1750,Terry-Huel,shopping_net,967.36,Advertising account planner,1,20,42,"Glendale,CA"
1751,Homenick LLC,personal_care,21.69,Special educational needs teacher,1,23,46,"Orient,WA"
1752,Kassulke Inc,entertainment,419.52,Special educational needs teacher,1,23,46,"Orient,WA"
1753,"""Baumbach, Hodkiewicz and Walsh""",shopping_pos,799.3,Advertising account planner,1,23,42,"Glendale,CA"
